map1.txt
1.57,0.78,1.57,0.78,1.57,
1.50026,1.09353,1.80485,1.09416,1.51898,
1.77237,1.17524,2.11901,1.34069,1.76825,
1.86064,1.18626,2.25863,1.40289,1.77089,
1.86809,1.18685,2.29354,1.40131,1.77688,
1.61053,1.29243,2.53331,1.33346,2.09104,
1.49269,1.60659,2.71007,1.45788,2.39981,
1.35292,1.49209,3.02423,1.44214,2.58604,
1.66708,1.38049,3.06824,1.3347,2.86671,
1.56823,1.37471,3.1336,1.36662,3.18087,
1.46605,1.68887,3.3502,1.36585,3.28848,
1.38505,1.5596,3.66436,1.17416,3.30819,
1.15066,1.65631,3.88188,0.859997,3.04941,
0.99805,1.42255,4.19604,1.00353,3.01269,
1.00051,1.73671,4.3258,1.01775,3.21245,
0.94129,1.78454,4.63996,1.13188,3.40056,
0.779368,1.47038,4.82015,1.33813,3.50194,
0.717855,1.40378,4.79772,1.65229,3.48256,
0.917333,1.42134,4.93826,1.96645,3.55729,
1.07175,1.39132,4.95988,2.28061,3.58096,
1.27095,1.16049,5.0936,2.31411,3.89512,
1.43312,1.47465,5.08486,2.29898,3.95088,
1.59809,1.51632,5.18474,2.61314,3.98192,
1.82207,1.56294,4.96808,2.63234,4.29608,
1.85698,1.56145,4.96215,2.63925,4.30753,
1.87523,1.54859,4.92521,2.74397,4.3896,
1.78697,1.60974,4.73793,2.84194,4.70376,
1.85679,1.61842,4.72303,2.87043,4.73465,
1.87154,1.88982,4.71404,2.67143,5.04881,
1.87401,1.89207,4.69885,2.70634,5.06212,
1.86672,1.92477,4.41475,2.71798,5.37628,
1.87446,2.02949,4.40943,2.66801,5.36734,
1.59365,2.02697,4.40139,2.60535,5.05318,
1.8729,2.03533,4.38376,2.59822,5.05386,
1.85908,2.34949,4.39076,2.54222,4.9897,
1.87338,2.41931,4.39537,2.52236,5.00768,
1.86432,2.66365,4.36857,2.62114,5.01108,
1.55016,2.65982,4.15677,2.42572,4.81609,
1.54028,2.62904,4.08609,2.73988,4.74305,
0.392,2.35,3.14,2.82,4.71,
